iShares Core S&P Small-Cap ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Nov 30, 2017"
Total Net Assets,"36,278,597,641.36"
Shares Outstanding,"468,300,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"NKTR","NEKTAR THERAPEUTICS","Equity","1.07","53.99","7,215,228.00","389,550,159.72","389,550,159.72","Health Care","2454445","US6402681083","NASDAQ"
"ALE","ALLETE INC","Equity","0.52","80.50","2,350,684.00","189,230,062.00","189,230,062.00","Utilities","B02R1L6","US0185223007","New York Stock Exchange Inc."
"IBKR","INTERACTIVE BROKERS GROUP INC CLAS","Equity","0.52","57.06","3,312,106.00","188,988,768.36","188,988,768.36","Financials","B1WT4X2","US45841N1072","NASDAQ"
"SR","SPIRE INC","Equity","0.50","82.25","2,233,899.00","183,738,192.75","183,738,192.75","Utilities","BYXJQG9","US84857L1017","New York Stock Exchange Inc."
"CHE","CHEMED CORP","Equity","0.50","245.94","741,364.00","182,331,062.16","182,331,062.16","Health Care","2190084","US16359R1032","New York Stock Exchange Inc."
"HCSG","HEALTHCARE SERVICES INC","Equity","0.48","51.93","3,392,882.00","176,192,362.26","176,192,362.26","Industrials","2417619","US4219061086","NASDAQ"
"JBT","JOHN BEAN TECHNOLOGIES CORP","Equity","0.48","119.75","1,458,946.00","174,708,783.50","174,708,783.50","Industrials","B3BRJZ8","US4778391049","New York Stock Exchange Inc."
"CMD","CANTEL MEDICAL CORP","Equity","0.48","106.48","1,634,745.00","174,067,647.60","174,067,647.60","Health Care","2188153","US1380981084","New York Stock Exchange Inc."
"SIGI","SELECTIVE INSURANCE GROUP INC","Equity","0.45","61.20","2,687,335.00","164,464,902.00","164,464,902.00","Financials","2766173","US8163001071","NASDAQ"
"TREX","TREX INC","Equity","0.44","117.76","1,364,103.00","160,636,769.28","160,636,769.28","Industrials","2483074","US89531P1057","New York Stock Exchange Inc."
"FIVE","FIVE BELOW INC","Equity","0.43","61.80","2,560,546.00","158,241,742.80","158,241,742.80","Consumer Discretionary","B85KFY9","US33829M1018","NASDAQ"
"EVR","EVERCORE INC CLASS A","Equity","0.43","86.85","1,820,585.00","158,117,807.25","158,117,807.25","Financials","B1BHXZ2","US29977A1051","New York Stock Exchange Inc."
"COLB","COLUMBIA BANKING SYSTEM INC","Equity","0.43","46.10","3,387,705.00","156,173,200.50","156,173,200.50","Financials","2176608","US1972361026","NASDAQ"
"NGVT","INGEVITY CORP","Equity","0.43","79.59","1,952,647.00","155,411,174.73","155,411,174.73","Materials","BD4LHG4","US45688C1071","New York Stock Exchange Inc."
"LITE","LUMENTUM HOLDINGS INC","Equity","0.42","54.05","2,850,351.00","154,061,471.55","154,061,471.55","Information Technology","BYM9ZP2","US55024U1097","NASDAQ"
"AVA","AVISTA CORP","Equity","0.42","51.94","2,965,893.00","154,048,482.42","154,048,482.42","Utilities","2942605","US05379B1070","New York Stock Exchange Inc."
"B","BARNES GROUP INC","Equity","0.42","66.27","2,298,108.00","152,295,617.16","152,295,617.16","Industrials","2080732","US0678061096","New York Stock Exchange Inc."
"PRA","PROASSURANCE CORP","Equity","0.42","61.85","2,458,706.00","152,070,966.10","152,070,966.10","Financials","2612737","US74267C1062","New York Stock Exchange Inc."
"LCII","LCI INDUSTRIES","Equity","0.42","130.90","1,156,822.00","151,427,999.80","151,427,999.80","Consumer Discretionary","BYQ44Y5","US50189K1034","New York Stock Exchange Inc."
"VAC","MARRIOTT VACATIONS WORLDWIDE CORP","Equity","0.41","134.25","1,115,976.00","149,819,778.00","149,819,778.00","Consumer Discretionary","B45K9N8","US57164Y1073","New York Stock Exchange Inc."
"CACI","CACI INTERNATIONAL INC CLASS A","Equity","0.41","131.95","1,135,074.00","149,773,014.30","149,773,014.30","Information Technology","2159267","US1271903049","New York Stock Exchange Inc."
"EGP","EASTGROUP PROPERTIES REIT INC","Equity","0.41","94.08","1,591,568.00","149,734,717.44","149,734,717.44","Real Estate","2455761","US2772761019","New York Stock Exchange Inc."
"FCFS","FIRSTCASH INC","Equity","0.41","67.40","2,212,230.00","149,104,302.00","149,104,302.00","Financials","BZCG9B4","US33767D1054","New York Stock Exchange Inc."
