iShares Core S&P Small-Cap ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Jan 31, 2018"
Total Net Assets,"37,155,979,820.85"
Shares Outstanding,"472,000,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"NKTR","NEKTAR THERAPEUTICS","Equity","1.65","83.61","7,352,746.00","614,763,093.06","614,763,093.06","Health Care","2454445","US6402681083","NASDAQ"
"CHE","CHEMED CORP","Equity","0.52","260.57","746,256.00","194,451,925.92","194,451,925.92","Health Care","2190084","US16359R1032","New York Stock Exchange Inc."
"HCSG","HEALTHCARE SERVICES INC","Equity","0.51","55.18","3,426,520.00","189,075,373.60","189,075,373.60","Industrials","2417619","US4219061086","NASDAQ"
"CMD","CANTEL MEDICAL CORP","Equity","0.49","110.93","1,664,955.00","184,693,458.15","184,693,458.15","Health Care","2188153","US1380981084","New York Stock Exchange Inc."
"EVR","EVERCORE INC CLASS A","Equity","0.49","100.55","1,806,523.00","181,645,887.65","181,645,887.65","Financials","B1BHXZ2","US29977A1051","New York Stock Exchange Inc."
"ASGN","ON ASSIGNMENT INC","Equity","0.47","76.57","2,288,768.00","175,250,965.76","175,250,965.76","Industrials","2658720","US6821591087","New York Stock Exchange Inc."
"ALE","ALLETE INC","Equity","0.46","72.44","2,378,493.00","172,298,032.92","172,298,032.92","Utilities","B02R1L6","US0185223007","New York Stock Exchange Inc."
"VAC","MARRIOTT VACATIONS WORLDWIDE CORP","Equity","0.45","152.33","1,103,544.00","168,102,857.52","168,102,857.52","Consumer Discretionary","B45K9N8","US57164Y1073","New York Stock Exchange Inc."
"JBT","JOHN BEAN TECHNOLOGIES CORP","Equity","0.45","113.75","1,474,497.00","167,724,033.75","167,724,033.75","Industrials","B3BRJZ8","US4778391049","New York Stock Exchange Inc."
"FIVE","FIVE BELOW INC","Equity","0.45","64.93","2,580,749.00","167,568,032.57","167,568,032.57","Consumer Discretionary","B85KFY9","US33829M1018","NASDAQ"
"CACI","CACI INTERNATIONAL INC CLASS A","Equity","0.43","140.55","1,152,174.00","161,938,055.70","161,938,055.70","Information Technology","2159267","US1271903049","New York Stock Exchange Inc."
