iShares Core S&P Small-Cap ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Mar 29, 2018"
Total Net Assets,"36,416,672,258.46"
Shares Outstanding,"472,650,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"CHE","CHEMED CORP","Equity","0.58","272.86","780,657.00","213,010,069.02","213,010,069.02","Health Care","2190084","US16359R1032","New York Stock Exchange Inc."
"FIVE","FIVE BELOW INC","Equity","0.53","73.34","2,670,771.00","195,874,345.14","195,874,345.14","Consumer Discretionary","B85KFY9","US33829M1018","NASDAQ"
"ASGN","ASGN INC","Equity","0.53","81.88","2,380,175.00","194,888,729.00","194,888,729.00","Industrials","2658720","US00191U1025","New York Stock Exchange Inc."
"LITE","LUMENTUM HOLDINGS INC","Equity","0.53","63.80","3,022,034.00","192,805,769.20","192,805,769.20","Information Technology","BYM9ZP2","US55024U1097","NASDAQ"
"HAE","HAEMONETICS CORP","Equity","0.52","73.16","2,588,600.00","189,381,976.00","189,381,976.00","Health Care","2401195","US4050241003","New York Stock Exchange Inc."
"FCFS","FIRSTCASH INC","Equity","0.50","81.25","2,259,710.00","183,601,437.50","183,601,437.50","Financials","BZCG9B4","US33767D1054","New York Stock Exchange Inc."
"CACI","CACI INTERNATIONAL INC CLASS A","Equity","0.49","151.35","1,195,446.00","180,930,752.10","180,930,752.10","Information Technology","2159267","US1271903049","New York Stock Exchange Inc."
"JBT","JOHN BEAN TECHNOLOGIES CORP","Equity","0.47","113.40","1,534,508.00","174,013,207.20","174,013,207.20","Industrials","B3BRJZ8","US4778391049","New York Stock Exchange Inc."
"SIGI","SELECTIVE INSURANCE GROUP INC","Equity","0.47","60.70","2,850,367.00","173,017,276.90","173,017,276.90","Financials","2766173","US8163001071","NASDAQ"
"IART","INTEGRA LIFESCIENCES HOLDINGS CORP","Equity","0.47","55.34","3,085,947.00","170,776,306.98","170,776,306.98","Health Care","2248693","US4579852082","NASDAQ"
"SR","SPIRE INC","Equity","0.46","72.30","2,346,963.00","169,685,424.90","169,685,424.90","Utilities","BYXJQG9","US84857L1017","New York Stock Exchange Inc."
"LGND","LIGAND PHARMACEUTICALS INC","Equity","0.46","165.16","1,023,434.00","169,030,359.44","169,030,359.44","Health Care","2501578","US53220K5048","NASDAQ"
"NEOG","NEOGEN CORP","Equity","0.45","66.99","2,487,681.00","166,649,750.19","166,649,750.19","Health Care","2630085","US6404911066","NASDAQ"
"AVA","AVISTA CORP","Equity","0.45","51.25","3,186,303.00","163,298,028.75","163,298,028.75","Utilities","2942605","US05379B1070","New York Stock Exchange Inc."
"STMP","STAMPS.COM INC","Equity","0.43","201.05","792,617.00","159,355,647.85","159,355,647.85","Information Technology","B013D75","US8528572006","NASDAQ"
"PDCE","PDC ENERGY INC","Equity","0.43","49.03","3,196,882.00","156,743,124.46","156,743,124.46","Energy","B89M5F2","US69327R1014","NASDAQ"
"TREX","TREX INC","Equity","0.42","108.77","1,429,156.00","155,449,298.12","155,449,298.12","Industrials","2483074","US89531P1057","New York Stock Exchange Inc."
"VAC","MARRIOTT VACATIONS WORLDWIDE CORP","Equity","0.42","133.20","1,146,912.00","152,768,678.40","152,768,678.40","Consumer Discretionary","B45K9N8","US57164Y1073","New York Stock Exchange Inc."
"FFIN","FIRST FINANCIAL BANKSHARES INC","Equity","0.41","46.30","3,281,599.00","151,938,033.70","151,938,033.70","Financials","2266026","US32020R1095","NASDAQ"
