Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
NKTR,NEKTAR THERAPEUTICS,Equity,1.78,86.56,"7,399,624.00","640,511,453.44","640,511,453.44",Health Care,2454445,US6402681083,NASDAQ
CMD,CANTEL MEDICAL CORP,Equity,0.54,116.31,"1,667,703.00","193,970,535.93","193,970,535.93",Health Care,2188153,US1380981084,New York Stock Exchange Inc.
CHE,CHEMED CORP,Equity,0.54,259.63,"746,949.00","193,930,368.87","193,930,368.87",Health Care,2190084,US16359R1032,New York Stock Exchange Inc.
LITE,LUMENTUM HOLDINGS INC,Equity,0.5,61,"2,915,597.00","177,851,417.00","177,851,417.00",Information Technology,BYM9ZP2,US55024U1097,NASDAQ
ASGN,ON ASSIGNMENT INC,Equity,0.49,76.69,"2,310,901.00","177,222,997.69","177,222,997.69",Industrials,2658720,US6821591087,New York Stock Exchange Inc.
HAE,HAEMONETICS CORP,Equity,0.49,70.9,"2,473,722.00","175,386,889.80","175,386,889.80",Health Care,2401195,US4050241003,New York Stock Exchange Inc.
FIVE,FIVE BELOW INC,Equity,0.48,66.85,"2,606,159.00","174,221,729.15","174,221,729.15",Consumer Discretionary,B85KFY9,US33829M1018,NASDAQ
CACI,CACI INTERNATIONAL INC CLASS A,Equity,0.48,149.05,"1,163,537.00","173,425,189.85","173,425,189.85",Information Technology,2159267,US1271903049,New York Stock Exchange Inc.
EVR,EVERCORE INC CLASS A,Equity,0.47,93.05,"1,825,094.00","169,824,996.70","169,824,996.70",Financials,B1BHXZ2,US29977A1051,New York Stock Exchange Inc.
FCFS,FIRSTCASH INC,Equity,0.46,73.7,"2,230,425.00","164,382,322.50","164,382,322.50",Financials,BZCG9B4,US33767D1054,New York Stock Exchange Inc.
JBT,JOHN BEAN TECHNOLOGIES CORP,Equity,0.46,110.75,"1,483,433.00","164,290,204.75","164,290,204.75",Industrials,B3BRJZ8,US4778391049,New York Stock Exchange Inc.
ALE,ALLETE INC,Equity,0.46,68.15,"2,401,946.00","163,692,619.90","163,692,619.90",Utilities,B02R1L6,US0185223007,New York Stock Exchange Inc.
PDCE,PDC ENERGY INC,Equity,0.46,52.53,"3,114,627.00","163,611,356.31","163,611,356.31",Energy,B89M5F2,US69327R1014,NASDAQ
