Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
MKSI,MKS INSTRUMENTS INC,Equity,0.62,81.75,"2,260,714.00","184,813,369.50","184,813,369.50",Information Technology,2404871,US55306N1046,NASDAQ
BLKB,BLACKBAUD INC,Equity,0.56,82.73,"2,002,613.00","165,676,173.49","165,676,173.49",Information Technology,2458878,US09227Q1004,NASDAQ
MDSO,MEDIDATA SOLUTIONS INC,Equity,0.55,71.18,"2,303,046.00","163,930,814.28","163,930,814.28",Health Care,B5424Q0,US58471A1051,NASDAQ
ALE,ALLETE INC,Equity,0.52,73.39,"2,110,751.00","154,908,015.89","154,908,015.89",Utilities,B02R1L6,US0185223007,New York Stock Exchange Inc.
COR,CORESITE REALTY REIT CORP,Equity,0.51,105.28,"1,430,931.00","150,648,415.68","150,648,415.68",Real Estate,B3T3VV8,US21870Q1058,New York Stock Exchange Inc.
HCSG,HEALTHCARE SERVICES INC,Equity,0.5,47.87,"3,072,702.00","147,090,244.74","147,090,244.74",Industrials,2417619,US4219061086,NASDAQ
SR,SPIRE INC,Equity,0.49,70.85,"2,035,664.00","144,226,794.40","144,226,794.40",Utilities,BYXJQG9,US84857L1017,New York Stock Exchange Inc.
CHE,CHEMED CORP,Equity,0.48,204.66,"687,798.00","140,764,738.68","140,764,738.68",Health Care,2190084,US16359R1032,New York Stock Exchange Inc.
LITE,LUMENTUM HOLDINGS INC,Equity,0.45,57.05,"2,328,865.00","132,861,748.25","132,861,748.25",Information Technology,BYM9ZP2,US55024U1097,NASDAQ
NKTR,NEKTAR THERAPEUTICS,Equity,0.44,19.88,"6,483,516.00","128,892,298.08","128,892,298.08",Health Care,2454445,US6402681083,NASDAQ
AEIS,ADVANCED ENERGY INDUSTRIES INC,Equity,0.43,76.93,"1,663,185.00","127,948,822.05","127,948,822.05",Information Technology,2049175,US0079731008,NASDAQ
IART,INTEGRA LIFESCIENCES HOLDINGS CORP,Equity,0.43,50.35,"2,522,432.00","127,004,451.20","127,004,451.20",Health Care,2248693,US4579852082,NASDAQ
