iShares Core S&P Small-Cap ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Sep 29, 2017"
Total Net Assets,"33,765,080,116.06"
Shares Outstanding,"455,450,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"MKSI","MKS INSTRUMENTS INC","Equity","0.68","94.45","2,417,908.00","228,371,410.60","228,371,410.60","Information Technology","2404871","US55306N1046","NASDAQ"
"HCSG","HEALTHCARE SERVICES INC","Equity","0.52","53.97","3,256,582.00","175,757,730.54","175,757,730.54","Industrials","2417619","US4219061086","NASDAQ"
"ALE","ALLETE INC","Equity","0.52","77.29","2,266,045.00","175,142,618.05","175,142,618.05","Utilities","B02R1L6","US0185223007","New York Stock Exchange Inc."
"NKTR","NEKTAR THERAPEUTICS","Equity","0.50","24.00","6,953,606.00","166,886,544.00","166,886,544.00","Health Care","2454445","US6402681083","NASDAQ"
"SR","SPIRE INC","Equity","0.48","74.65","2,152,380.00","160,675,167.00","160,675,167.00","Utilities","BYXJQG9","US84857L1017","New York Stock Exchange Inc."
"B","BARNES GROUP INC","Equity","0.46","70.44","2,204,175.00","155,262,087.00","155,262,087.00","Industrials","2080732","US0678061096","New York Stock Exchange Inc."
"CACI","CACI INTERNATIONAL INC CLASS A","Equity","0.45","139.35","1,090,971.00","152,026,808.85","152,026,808.85","Information Technology","2159267","US1271903049","New York Stock Exchange Inc."
"LITE","LUMENTUM HOLDINGS INC","Equity","0.44","54.35","2,740,683.00","148,956,121.05","148,956,121.05","Information Technology","BYM9ZP2","US55024U1097","NASDAQ"
"CMD","CANTEL MEDICAL CORP","Equity","0.44","94.17","1,575,636.00","148,377,642.12","148,377,642.12","Health Care","2188153","US1380981084","New York Stock Exchange Inc."
"AVA","AVISTA CORP","Equity","0.44","51.77","2,861,613.00","148,145,705.01","148,145,705.01","Utilities","2942605","US05379B1070","New York Stock Exchange Inc."
"CHE","CHEMED CORP","Equity","0.43","202.05","712,895.00","144,040,434.75","144,040,434.75","Health Care","2190084","US16359R1032","New York Stock Exchange Inc."
"PDCE","PDC ENERGY INC","Equity","0.43","49.03","2,930,650.00","143,689,769.50","143,689,769.50","Energy","B89M5F2","US69327R1014","NASDAQ"
"AEIS","ADVANCED ENERGY INDUSTRIES INC","Equity","0.43","80.76","1,777,631.00","143,561,479.56","143,561,479.56","Information Technology","2049175","US0079731008","NASDAQ"
"IBKR","INTERACTIVE BROKERS GROUP INC CLAS","Equity","0.43","45.04","3,186,440.00","143,517,257.60","143,517,257.60","Financials","B1WT4X2","US45841N1072","NASDAQ"
"JBT","JOHN BEAN TECHNOLOGIES CORP","Equity","0.42","101.10","1,408,351.00","142,384,286.10","142,384,286.10","Industrials","B3BRJZ8","US4778391049","New York Stock Exchange Inc."
"STMP","STAMPS.COM INC","Equity","0.42","202.65","701,267.00","142,111,757.55","142,111,757.55","Information Technology","B013D75","US8528572006","NASDAQ"
"IART","INTEGRA LIFESCIENCES HOLDINGS CORP","Equity","0.42","50.48","2,809,726.00","141,834,968.48","141,834,968.48","Health Care","2248693","US4579852082","NASDAQ"
"EVR","EVERCORE INC CLASS A","Equity","0.42","80.25","1,743,899.00","139,947,894.75","139,947,894.75","Financials","B1BHXZ2","US29977A1051","New York Stock Exchange Inc."
"SIGI","SELECTIVE INSURANCE GROUP INC","Equity","0.42","53.85","2,592,955.00","139,630,626.75","139,630,626.75","Financials","2766173","US8163001071","NASDAQ"
"EGP","EASTGROUP PROPERTIES REIT INC","Equity","0.40","88.12","1,531,429.00","134,949,523.48","134,949,523.48","Real Estate","2455761","US2772761019","New York Stock Exchange Inc."
"FIVE","FIVE BELOW INC","Equity","0.40","54.88","2,452,395.00","134,587,437.60","134,587,437.60","Consumer Discretionary","B85KFY9","US33829M1018","NASDAQ"
"FCFS","FIRSTCASH INC","Equity","0.40","63.15","2,127,255.00","134,336,153.25","134,336,153.25","Financials","BZCG9B4","US33767D1054","New York Stock Exchange Inc."
"FFIN","FIRST FINANCIAL BANKSHARES INC","Equity","0.40","45.20","2,949,366.00","133,311,343.20","133,311,343.20","Financials","2266026","US32020R1095","NASDAQ"
"VAC","MARRIOTT VACATIONS WORLDWIDE CORP","Equity","0.40","124.53","1,068,737.00","133,089,818.61","133,089,818.61","Consumer Discretionary","B45K9N8","US57164Y1073","New York Stock Exchange Inc."
