Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
SIGI,SELECTIVE INSURANCE GROUP INC,Equity,0.6,75.12,"3,559,998.00","267,427,049.76","267,427,049.76",Financials,2766173,US8163001071,NASDAQ
MRCY,MERCURY SYSTEMS INC,Equity,0.57,76.87,"3,321,602.00","255,331,545.74","255,331,545.74",Industrials,2144047,US5893781089,NASDAQ
FCFS,FIRSTCASH INC,Equity,0.56,95.81,"2,588,582.00","248,012,041.42","248,012,041.42",Financials,BZCG9B4,US33767D1054,NASDAQ
FCN,FTI CONSULTING INC,Equity,0.55,106.31,"2,281,151.00","242,509,162.81","242,509,162.81",Industrials,2351449,US3029411093,New York Stock Exchange Inc.
CCMP,CABOT MICROELECTRONICS CORP,Equity,0.53,134.2,"1,741,076.00","233,652,399.20","233,652,399.20",Information Technology,2572381,US12709P1030,NASDAQ
NEOG,NEOGEN CORP,Equity,0.51,73.23,"3,127,803.00","229,049,013.69","229,049,013.69",Health Care,2630085,US6404911066,NASDAQ
RGEN,REPLIGEN CORP,Equity,0.48,80.57,"2,677,028.00","215,688,145.96","215,688,145.96",Health Care,2731654,US7599161095,NASDAQ
EXPO,EXPONENT INC,Equity,0.48,68.81,"3,114,955.00","214,340,053.55","214,340,053.55",Industrials,2330318,US30214U1025,NASDAQ
AJRD,AEROJET ROCKETDYNE HOLDINGS INC,Equity,0.48,48.76,"4,348,833.00","212,049,097.08","212,049,097.08",Industrials,BWD7PX9,US0078001056,New York Stock Exchange Inc.
JBT,JOHN BEAN TECHNOLOGIES CORP,Equity,0.47,110.88,"1,899,487.00","210,615,118.56","210,615,118.56",Industrials,B3BRJZ8,US4778391049,New York Stock Exchange Inc.
RLI,RLI CORP,Equity,0.47,89.3,"2,353,049.00","210,127,275.70","210,127,275.70",Financials,2719070,US7496071074,New York Stock Exchange Inc.
LHCG,LHC GROUP INC,Equity,0.47,118.38,"1,760,062.00","208,356,139.56","208,356,139.56",Health Care,B06DT50,US50187A1079,NASDAQ
STRA,STRATEGIC EDUCATION INC,Equity,0.47,157.8,"1,318,320.00","208,030,896.00","208,030,896.00",Consumer Discretionary,BGGJFV8,US86272C1036,NASDAQ
GBCI,GLACIER BANCORP INC,Equity,0.46,40.11,"5,155,932.00","206,804,432.52","206,804,432.52",Financials,2370585,US37637Q1058,NASDAQ
SEDG,SOLAREDGE TECHNOLOGIES INC,Equity,0.45,75.12,"2,675,284.00","200,967,334.08","200,967,334.08",Information Technology,BWC52Q6,US83417M1045,NASDAQ
BCPC,BALCHEM CORP,Equity,0.44,101.18,"1,944,810.00","196,775,875.80","196,775,875.80",Materials,2072074,US0576652004,NASDAQ
CBU,COMMUNITY BANK SYSTEM INC,Equity,0.44,63.4,"3,100,914.00","196,597,947.60","196,597,947.60",Financials,2222062,US2036071064,New York Stock Exchange Inc.
AWR,AMERICAN STATES WATER,Equity,0.44,88.85,"2,212,034.00","196,539,220.90","196,539,220.90",Utilities,2267171,US0298991011,New York Stock Exchange Inc.
MDCO,MEDICINES,Equity,0.44,46.56,"4,182,675.00","194,745,348.00","194,745,348.00",Health Care,2616773,US5846881051,NASDAQ
VIAV,VIAVI SOLUTIONS INC,Equity,0.44,14.11,"13,723,519.00","193,638,853.09","193,638,853.09",Information Technology,BYXB201,US9255501051,NASDAQ
HMSY,HMS HOLDINGS CORP,Equity,0.43,36.56,"5,227,158.00","191,104,896.48","191,104,896.48",Health Care,2418043,US40425J1016,NASDAQ
DAR,DARLING INGREDIENTS INC,Equity,0.43,19.2,"9,907,027.00","190,214,918.40","190,214,918.40",Consumer Staples,2250289,US2372661015,New York Stock Exchange Inc.
BLD,TOPBUILD CORP,Equity,0.43,91.89,"2,063,775.00","189,640,284.75","189,640,284.75",Consumer Discretionary,BZ0P3W2,US89055F1030,New York Stock Exchange Inc.
AVA,AVISTA CORP,Equity,0.42,47.14,"3,951,509.00","186,274,134.26","186,274,134.26",Utilities,2942605,US05379B1070,New York Stock Exchange Inc.
LAD,LITHIA MOTORS INC CLASS A,Equity,0.41,136.13,"1,342,782.00","182,792,913.66","182,792,913.66",Consumer Discretionary,2515030,US5367971034,New York Stock Exchange Inc.
SKYW,SKYWEST INC,Equity,0.41,59.39,"3,073,718.00","182,548,112.02","182,548,112.02",Industrials,2814210,US8308791024,NASDAQ
SJI,S JERSEY INDS INC,Equity,0.41,32.6,"5,553,545.00","181,045,567.00","181,045,567.00",Utilities,2825933,US8385181081,New York Stock Exchange Inc.
ADC,AGREE REALTY REIT CORP,Equity,0.4,71.35,"2,514,906.00","179,438,543.10","179,438,543.10",Real Estate,2062161,US0084921008,New York Stock Exchange Inc.
OMCL,OMNICELL INC,Equity,0.4,72.06,"2,473,713.00","178,255,758.78","178,255,758.78",Health Care,2789523,US68213N1090,NASDAQ
UNF,UNIFIRST CORP,Equity,0.39,189.15,"923,284.00","174,639,168.60","174,639,168.60",Industrials,2466428,US9047081040,New York Stock Exchange Inc.
PRLB,PROTO LABS INC,Equity,0.38,106.37,"1,609,392.00","171,191,027.04","171,191,027.04",Industrials,B6T6J81,US7437131094,New York Stock Exchange Inc.
JJSF,J AND J SNACK FOODS CORP,Equity,0.38,187.57,"904,378.00","169,634,181.46","169,634,181.46",Consumer Staples,2469171,US4660321096,NASDAQ
MOGA,MOOG INC CLASS A,Equity,0.38,86.62,"1,952,399.00","169,116,801.38","169,116,801.38",Industrials,2601218,US6153942023,New York Stock Exchange Inc.
SHOO,STEVEN MADDEN LTD,Equity,0.38,35.9,"4,689,876.00","168,366,548.40","168,366,548.40",Consumer Discretionary,2553911,US5562691080,NASDAQ
ARWR,ARROWHEAD PHARMACEUTICALS INC,Equity,0.37,28.72,"5,690,434.00","163,429,264.48","163,429,264.48",Health Care,BYQBFJ8,US04280A1007,NASDAQ
EE,EL PASO ELECTRIC,Equity,0.37,66.88,"2,442,709.00","163,368,377.92","163,368,377.92",Utilities,2851808,US2836778546,New York Stock Exchange Inc.
BRKS,BROOKS AUTOMATION INC,Equity,0.37,37.71,"4,320,271.00","162,917,419.41","162,917,419.41",Information Technology,2145460,US1143401024,NASDAQ
SSD,SIMPSON MANUFACTURING INC,Equity,0.36,66.7,"2,416,043.00","161,150,068.10","161,150,068.10",Industrials,2809250,US8290731053,New York Stock Exchange Inc.
FNSR,FINISAR CORP,Equity,0.36,22.75,"7,082,069.00","161,117,069.75","161,117,069.75",Information Technology,2517832,US31787A5074,NASDAQ
WING,WINGSTOP INC,Equity,0.36,90.8,"1,768,209.00","160,553,377.20","160,553,377.20",Consumer Discretionary,BYYXHN4,US9741551033,NASDAQ
QLYS,QUALYS INC,Equity,0.36,79.22,"2,023,807.00","160,325,990.54","160,325,990.54",Information Technology,B7XJTN8,US74758T3032,NASDAQ
AMN,AMN HEALTHCARE INC,Equity,0.36,57.17,"2,801,293.00","160,149,920.81","160,149,920.81",Health Care,2813552,US0017441017,New York Stock Exchange Inc.
POWI,POWER INTEGRATIONS INC,Equity,0.36,91.22,"1,752,740.00","159,884,942.80","159,884,942.80",Information Technology,2133045,US7392761034,NASDAQ
COLB,COLUMBIA BANKING SYSTEM INC,Equity,0.36,36.45,"4,379,359.00","159,627,635.55","159,627,635.55",Financials,2176608,US1972361026,NASDAQ
ARI,APOLLO COMMERCIAL REAL ESTATE FINA,Equity,0.36,19.23,"8,279,699.00","159,218,611.77","159,218,611.77",Financials,B4JTYX6,US03762U1051,New York Stock Exchange Inc.
ROG,ROGERS CORP,Equity,0.36,142.95,"1,111,194.00","158,845,182.30","158,845,182.30",Information Technology,2746700,US7751331015,New York Stock Exchange Inc.
BRC,BRADY NONVOTING CORP CLASS A,Equity,0.35,53.23,"2,964,211.00","157,784,951.53","157,784,951.53",Industrials,2117726,US1046741062,New York Stock Exchange Inc.
WTS,WATTS WATER TECHNOLOGIES INC CLASS,Equity,0.35,94.64,"1,666,057.00","157,675,634.48","157,675,634.48",Industrials,2943620,US9427491025,New York Stock Exchange Inc.
AIN,ALBANY INTERNATIONAL CORP CLASS A,Equity,0.35,85.67,"1,828,712.00","156,665,757.04","156,665,757.04",Industrials,2012757,US0123481089,New York Stock Exchange Inc.
ONB,OLD NATIONAL BANCORP,Equity,0.35,17.3,"8,999,492.00","155,691,211.60","155,691,211.60",Financials,2658441,US6800331075,NASDAQ
EBS,EMERGENT BIOSOLUTIONS INC,Equity,0.35,57.2,"2,717,260.00","155,427,272.00","155,427,272.00",Health Care,B1HJLW5,US29089Q1058,New York Stock Exchange Inc.
FOXF,FOX FACTORY HOLDING CORP,Equity,0.35,67.62,"2,289,616.00","154,823,833.92","154,823,833.92",Consumer Discretionary,BCRY5K3,US35138V1026,NASDAQ
MNRO,MONRO INC,Equity,0.35,77.51,"1,993,753.00","154,535,795.03","154,535,795.03",Consumer Discretionary,2600088,US6102361010,NASDAQ
RH,RH,Equity,0.35,158.88,"968,883.00","153,936,131.04","153,936,131.04",Consumer Discretionary,BYXR425,US74967X1037,New York Stock Exchange Inc.
CWT,CALIFORNIA WATER SERVICE GROUP,Equity,0.34,53.01,"2,894,968.00","153,462,253.68","153,462,253.68",Utilities,2165383,US1307881029,New York Stock Exchange Inc.
CNMD,CONMED CORP,Equity,0.34,98.02,"1,561,481.00","153,056,367.62","153,056,367.62",Health Care,2216010,US2074101013,NASDAQ
WWW,WOLVERINE WORLD WIDE INC,Equity,0.34,28.65,"5,332,266.00","152,769,420.90","152,769,420.90",Consumer Discretionary,2977500,US9780971035,New York Stock Exchange Inc.
WDFC,WD-40,Equity,0.34,183.84,"829,814.00","152,553,005.76","152,553,005.76",Consumer Staples,2944742,US9292361071,NASDAQ
SHAK,SHAKE SHACK INC CLASS A,Equity,0.34,96.98,"1,571,568.00","152,410,664.64","152,410,664.64",Consumer Discretionary,BV0LCR0,US8190471016,New York Stock Exchange Inc.
INDB,INDEPENDENT BANK CORP,Equity,0.34,73.51,"2,052,343.00","150,867,733.93","150,867,733.93",Financials,2447821,US4538361084,NASDAQ
CCOI,COGENT COMMUNICATIONS HOLDINGS INC,Equity,0.33,58.99,"2,509,988.00","148,064,192.12","148,064,192.12",Communication,B06RWD1,US19239V3024,NASDAQ
UFPI,UNIVERSAL FOREST PRODUCTS INC,Equity,0.33,39.41,"3,690,388.00","145,438,191.08","145,438,191.08",Industrials,2906496,US9135431040,NASDAQ
SAIA,SAIA INC,Equity,0.33,93.4,"1,554,863.00","145,224,204.20","145,224,204.20",Industrials,2982399,US78709Y1055,NASDAQ
ITRI,ITRON INC,Equity,0.33,72.38,"2,004,357.00","145,075,359.66","145,075,359.66",Information Technology,2471949,US4657411066,NASDAQ
XHR,XENIA HOTELS RESORTS REIT INC,Equity,0.33,21.41,"6,770,690.00","144,960,472.90","144,960,472.90",Real Estate,BVV6CY1,US9840171030,New York Stock Exchange Inc.
ENSG,ENSIGN GROUP INC,Equity,0.33,48.35,"2,996,518.00","144,881,645.30","144,881,645.30",Health Care,B1YWPP8,US29358P1012,NASDAQ
