iShares North American Tech-Multimedia Networking ETF
Inception Date,"Jul 10, 2001"
Fund Holdings as of,"Feb 28, 2017"
Total Net Assets,"80,705,755.91"
Shares Outstanding,"1,750,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange,Location,Currency,Market Currency,FX Rate
"PANW","PALO ALTO NETWORKS INC.","Equity","9.53","151.90","52,092.00","7,912,774.80","7,912,774.80","Information Technology","B87ZMX0","US6974351057","New York Stock Exchange Inc.","United States","USD","USD","1.00"
"CSCO","CISCO SYSTEMS INC","Equity","9.36","34.18","227,210.00","7,766,037.80","7,766,037.80","Information Technology","2198163","US17275R1023","NASDAQ","United States","USD","USD","1.00"
"HRS","HARRIS CORP","Equity","8.51","109.90","64,250.00","7,061,075.00","7,061,075.00","Information Technology","2412001","US4138751056","New York Stock Exchange Inc.","United States","USD","USD","1.00"
"JNPR","JUNIPER NETWORKS INC","Equity","8.01","28.00","237,446.00","6,648,488.00","6,648,488.00","Information Technology","2431846","US48203R1041","New York Stock Exchange Inc.","United States","USD","USD","1.00"
"MSI","MOTOROLA SOLUTIONS INC","Equity","7.77","78.97","81,695.00","6,451,454.15","6,451,454.15","Information Technology","B5BKPQ4","US6200763075","New York Stock Exchange Inc.","United States","USD","USD","1.00"
"ANET","ARISTA NETWORKS INC","Equity","5.02","118.99","35,020.00","4,167,029.80","4,167,029.80","Information Technology","BN33VM5","US0404131064","New York Stock Exchange Inc.","United States","USD","USD","1.00"
"COMM","COMMSCOPE HOLDING INC","Equity","4.48","38.05","97,662.00","3,716,039.10","3,716,039.10","Information Technology","BFRBX34","US20337X1090","NASDAQ","United States","USD","USD","1.00"
"FFIV","F5 NETWORKS INC","Equity","4.35","143.27","25,226.00","3,614,129.02","3,614,129.02","Information Technology","2427599","US3156161024","NASDAQ","United States","USD","USD","1.00"
"BRCD","BROCADE COMMUNICATIONS SYSTEMS INC","Equity","4.31","12.31","290,777.00","3,579,464.87","3,579,464.87","Information Technology","2422174","US1116213067","NASDAQ","United States","USD","USD","1.00"
"FNSR","FINISAR CORP.","Equity","3.76","33.48","93,207.00","3,120,570.36","3,120,570.36","Information Technology","2517832","US31787A5074","NASDAQ","United States","USD","USD","1.00"
"CIEN","CIENA CORP","Equity","3.74","26.34","117,806.00","3,103,010.04","3,103,010.04","Information Technology","B1FLZ21","US1717793095","New York Stock Exchange Inc.","United States","USD","USD","1.00"
"ARRS","ARRIS INTERNATIONAL PLC","Equity","3.69","25.80","118,588.00","3,059,570.40","3,059,570.40","Information Technology","BZ04Y37","GB00BZ04Y379","NASDAQ","United States","USD","USD","1.00"
"VSAT","VIASAT INC.","Equity","3.61","68.84","43,549.00","2,997,913.16","2,997,913.16","Information Technology","2946243","US92552V1008","NASDAQ","United States","USD","USD","1.00"
"NTCT","NETSCOUT SYSTEMS INC.","Equity","3.45","36.95","77,432.00","2,861,112.40","2,861,112.40","Information Technology","2447285","US64115T1043","NASDAQ","United States","USD","USD","1.00"
"IDCC","INTERDIGITAL INC.","Equity","2.94","84.05","28,989.00","2,436,525.45","2,436,525.45","Information Technology","2465737","US45867G1013","NASDAQ","United States","USD","USD","1.00"
"LITE","LUMENTUM HOLDINGS INC","Equity","2.56","45.90","46,267.00","2,123,655.30","2,123,655.30","Information Technology","BYM9ZP2","US55024U1097","NASDAQ","United States","USD","USD","1.00"
"SATS","ECHOSTAR CORP.","Equity","2.52","53.27","39,241.00","2,090,368.07","2,090,368.07","Information Technology","B2NC471","US2787681061","NASDAQ","United States","USD","USD","1.00"
"VIAV","VIAVI SOLUTIONS INC","Equity","2.35","10.02","194,594.00","1,949,831.88","1,949,831.88","Information Technology","BYXB201","US9255501051","NASDAQ","United States","USD","USD","1.00"
"NTGR","NETGEAR INC.","Equity","1.85","54.80","27,969.00","1,532,701.20","1,532,701.20","Information Technology","2688363","US64111Q1040","NASDAQ","United States","USD","USD","1.00"
"PLT","PLANTRONICS INC.","Equity","1.82","53.56","28,148.00","1,507,606.88","1,507,606.88","Information Technology","2692030","US7274931085","New York Stock Exchange Inc.","United States","USD","USD","1.00"
"INFN","INFINERA CORP","Equity","1.60","10.85","122,230.00","1,326,195.50","1,326,195.50","Information Technology","B1YB5Y4","US45667G1031","NASDAQ","United States","USD","USD","1.00"
"UBNT","UBIQUITI NETWORKS INC.","Equity","1.28","49.14","21,550.00","1,058,967.00","1,058,967.00","Information Technology","B76VD62","US90347A1007","NASDAQ","United States","USD","USD","1.00"
"XXIA","IXIA","Equity","1.26","19.60","53,457.00","1,047,757.20","1,047,757.20","Information Technology","2654245","US45071R1095","NASDAQ","United States","USD","USD","1.00"
"OCLR","OCLARO INC.","Equity","1.09","8.50","106,619.00","906,261.50","906,261.50","Information Technology","B01W5C1","US67555N2062","NASDAQ","United States","USD","USD","1.00"
"ADTN","ADTRAN INC.","Equity","1.04","21.15","40,924.00","865,542.60","865,542.60","Information Technology","2052924","US00738A1060","NASDAQ","United States","USD","USD","1.00"
"BLKFDS","BLK CSH FND TREASURY SL AGENCY","Money Market","0.12","1.00","101,380.00","101,380.41","101,380.41","Cash and/or Derivatives","-","US0669224778","-","United States","USD","USD","1.00"
"USD","USD CASH","Cash","0.01","100.00","4,419.00","4,418.72","4,418.72","Cash and/or Derivatives","-","-","-","United States","USD","USD","1.00"
 
