iShares North American Tech-Multimedia Networking ETF
Inception Date,"Jul 10, 2001"
Fund Holdings as of,"Nov 30, 2017"
Total Net Assets,"51,322,487.56"
Shares Outstanding,"1,050,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange,Location,Currency,Market Currency,FX Rate
"HRS","HARRIS CORP","Equity","9.65","144.50","34,277.00","4,953,026.50","4,953,026.50","Information Technology","2412001","US4138751056","New York Stock Exchange Inc.","United States","USD","USD","1.00"
"CSCO","CISCO SYSTEMS INC","Equity","9.60","37.30","132,155.00","4,929,381.50","4,929,381.50","Information Technology","2198163","US17275R1023","NASDAQ","United States","USD","USD","1.00"
"MSI","MOTOROLA SOLUTIONS INC","Equity","8.91","94.11","48,607.00","4,574,404.77","4,574,404.77","Information Technology","B5BKPQ4","US6200763075","New York Stock Exchange Inc.","United States","USD","USD","1.00"
"JNPR","JUNIPER NETWORKS INC","Equity","8.40","27.76","155,338.00","4,312,182.88","4,312,182.88","Information Technology","2431846","US48203R1041","New York Stock Exchange Inc.","United States","USD","USD","1.00"
"PANW","PALO ALTO NETWORKS INC","Equity","8.30","145.75","29,214.00","4,257,940.50","4,257,940.50","Information Technology","B87ZMX0","US6974351057","New York Stock Exchange Inc.","United States","USD","USD","1.00"
"ANET","ARISTA NETWORKS INC","Equity","5.81","233.12","12,796.00","2,983,003.52","2,983,003.52","Information Technology","BN33VM5","US0404131064","New York Stock Exchange Inc.","United States","USD","USD","1.00"
"FFIV","F5 NETWORKS INC","Equity","5.02","134.20","19,212.00","2,578,250.40","2,578,250.40","Information Technology","2427599","US3156161024","NASDAQ","United States","USD","USD","1.00"
"ARRS","ARRIS INTERNATIONAL PLC","Equity","4.89","29.97","83,757.00","2,510,197.29","2,510,197.29","Information Technology","BZ04Y37","GB00BZ04Y379","NASDAQ","United States","USD","USD","1.00"
"COMM","COMMSCOPE HOLDING INC","Equity","4.72","35.99","67,315.00","2,422,666.85","2,422,666.85","Information Technology","BFRBX34","US20337X1090","NASDAQ","United States","USD","USD","1.00"
"VSAT","VIASAT INC","Equity","4.41","74.24","30,467.00","2,261,870.08","2,261,870.08","Information Technology","2946243","US92552V1008","NASDAQ","United States","USD","USD","1.00"
"LITE","LUMENTUM HOLDINGS INC","Equity","3.66","54.05","34,717.00","1,876,453.85","1,876,453.85","Information Technology","BYM9ZP2","US55024U1097","NASDAQ","United States","USD","USD","1.00"
"CIEN","CIENA CORP","Equity","3.39","21.75","80,059.00","1,741,283.25","1,741,283.25","Information Technology","B1FLZ21","US1717793095","New York Stock Exchange Inc.","United States","USD","USD","1.00"
"SATS","ECHOSTAR CORP CLASS A","Equity","3.16","59.85","27,085.00","1,621,037.25","1,621,037.25","Information Technology","B2NC471","US2787681061","NASDAQ","United States","USD","USD","1.00"
"NTCT","NETSCOUT SYSTEMS INC","Equity","3.06","31.05","50,564.00","1,570,012.20","1,570,012.20","Information Technology","2447285","US64115T1043","NASDAQ","United States","USD","USD","1.00"
"IDCC","INTERDIGITAL INC","Equity","2.91","76.10","19,602.00","1,491,712.20","1,491,712.20","Information Technology","2465737","US45867G1013","NASDAQ","United States","USD","USD","1.00"
"FNSR","FINISAR CORP","Equity","2.51","20.01","64,293.00","1,286,502.93","1,286,502.93","Information Technology","2517832","US31787A5074","NASDAQ","United States","USD","USD","1.00"
"VIAV","VIAVI SOLUTIONS INC","Equity","2.35","9.37","128,500.00","1,204,045.00","1,204,045.00","Information Technology","BYXB201","US9255501051","NASDAQ","United States","USD","USD","1.00"
"PLT","PLANTRONICS INC","Equity","1.93","52.32","18,978.00","992,928.96","992,928.96","Information Technology","2692030","US7274931085","New York Stock Exchange Inc.","United States","USD","USD","1.00"
"NTGR","NETGEAR INC","Equity","1.79","51.50","17,848.00","919,172.00","919,172.00","Information Technology","2688363","US64111Q1040","NASDAQ","United States","USD","USD","1.00"
"UBNT","UBIQUITI NETWORKS INC","Equity","1.71","66.83","13,145.00","878,480.35","878,480.35","Information Technology","B76VD62","US90347A1007","NASDAQ","United States","USD","USD","1.00"
"OCLR","OCLARO INC","Equity","1.32","7.12","95,246.00","678,151.52","678,151.52","Information Technology","B01W5C1","US67555N2062","NASDAQ","United States","USD","USD","1.00"
"ADTN","ADTRAN INC","Equity","1.21","23.10","26,993.00","623,538.30","623,538.30","Information Technology","2052924","US00738A1060","NASDAQ","United States","USD","USD","1.00"
"INFN","INFINERA CORP","Equity","1.18","7.24","83,694.00","605,944.56","605,944.56","Information Technology","B1YB5Y4","US45667G1031","NASDAQ","United States","USD","USD","1.00"
"USD","USD CASH","Cash","0.05","100.00","27,490.00","27,489.57","27,489.57","Cash and/or Derivatives","-","-","-","United States","USD","USD","1.00"
"BLKFDS","BLK CSH FND TREASURY SL AGENCY","Money Market","0.05","1.00","25,218.00","25,218.13","25,218.13","Cash and/or Derivatives","-","US0669224778","-","United States","USD","USD","1.00"
 
