iShares North American Tech-Multimedia Networking ETF
Inception Date,"Jul 10, 2001"
Fund Holdings as of,"Mar 31, 2017"
Total Net Assets,"77,417,104.63"
Shares Outstanding,"1,700,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange,Location,Currency,Market Currency,FX Rate
"MSI","MOTOROLA SOLUTIONS INC","Equity","8.89","86.22","79,815.00","6,881,649.30","6,881,649.30","Information Technology","B5BKPQ4","US6200763075","New York Stock Exchange Inc.","United States","USD","USD","1.00"
"HRS","HARRIS CORP","Equity","8.48","111.27","59,025.00","6,567,711.75","6,567,711.75","Information Technology","2412001","US4138751056","New York Stock Exchange Inc.","United States","USD","USD","1.00"
"JNPR","JUNIPER NETWORKS INC","Equity","8.40","27.83","233,532.00","6,499,195.56","6,499,195.56","Information Technology","2431846","US48203R1041","New York Stock Exchange Inc.","United States","USD","USD","1.00"
"CSCO","CISCO SYSTEMS INC","Equity","8.31","33.80","190,423.00","6,436,297.40","6,436,297.40","Information Technology","2198163","US17275R1023","NASDAQ","United States","USD","USD","1.00"
"PANW","PALO ALTO NETWORKS INC.","Equity","8.22","112.68","56,465.00","6,362,476.20","6,362,476.20","Information Technology","B87ZMX0","US6974351057","New York Stock Exchange Inc.","United States","USD","USD","1.00"
"ANET","ARISTA NETWORKS INC","Equity","4.77","132.27","27,896.00","3,689,803.92","3,689,803.92","Information Technology","BN33VM5","US0404131064","New York Stock Exchange Inc.","United States","USD","USD","1.00"
"COMM","COMMSCOPE HOLDING INC","Equity","4.76","41.71","88,285.00","3,682,367.35","3,682,367.35","Information Technology","BFRBX34","US20337X1090","NASDAQ","United States","USD","USD","1.00"
"ARRS","ARRIS INTERNATIONAL PLC","Equity","4.69","26.45","137,201.00","3,628,966.45","3,628,966.45","Information Technology","BZ04Y37","GB00BZ04Y379","NASDAQ","United States","USD","USD","1.00"
"BRCD","BROCADE COMMUNICATIONS SYSTEMS INC","Equity","4.49","12.48","278,462.00","3,475,205.76","3,475,205.76","Information Technology","2422174","US1116213067","NASDAQ","United States","USD","USD","1.00"
"FFIV","F5 NETWORKS INC","Equity","4.40","142.57","23,912.00","3,409,133.84","3,409,133.84","Information Technology","2427599","US3156161024","NASDAQ","United States","USD","USD","1.00"
"NTCT","NETSCOUT SYSTEMS INC.","Equity","3.54","37.95","72,196.00","2,739,838.20","2,739,838.20","Information Technology","2447285","US64115T1043","NASDAQ","United States","USD","USD","1.00"
"VSAT","VIASAT INC.","Equity","3.44","63.82","41,711.00","2,661,996.02","2,661,996.02","Information Technology","2946243","US92552V1008","NASDAQ","United States","USD","USD","1.00"
"CIEN","CIENA CORP","Equity","3.39","23.61","111,142.00","2,624,062.62","2,624,062.62","Information Technology","B1FLZ21","US1717793095","New York Stock Exchange Inc.","United States","USD","USD","1.00"
"FNSR","FINISAR CORP.","Equity","3.08","27.34","87,075.00","2,380,630.50","2,380,630.50","Information Technology","2517832","US31787A5074","NASDAQ","United States","USD","USD","1.00"
"IDCC","INTERDIGITAL INC.","Equity","3.01","86.30","26,985.00","2,328,805.50","2,328,805.50","Information Technology","2465737","US45867G1013","NASDAQ","United States","USD","USD","1.00"
"LITE","LUMENTUM HOLDINGS INC","Equity","3.01","53.35","43,649.00","2,328,674.15","2,328,674.15","Information Technology","BYM9ZP2","US55024U1097","NASDAQ","United States","USD","USD","1.00"
"SATS","ECHOSTAR CORP.","Equity","2.70","56.95","36,687.00","2,089,324.65","2,089,324.65","Information Technology","B2NC471","US2787681061","NASDAQ","United States","USD","USD","1.00"
"VIAV","VIAVI SOLUTIONS INC","Equity","2.51","10.72","181,151.00","1,941,938.72","1,941,938.72","Information Technology","BYXB201","US9255501051","NASDAQ","United States","USD","USD","1.00"
"PLT","PLANTRONICS INC.","Equity","1.82","54.11","26,098.00","1,412,162.78","1,412,162.78","Information Technology","2692030","US7274931085","New York Stock Exchange Inc.","United States","USD","USD","1.00"
"NTGR","NETGEAR INC.","Equity","1.66","49.55","25,899.00","1,283,295.45","1,283,295.45","Information Technology","2688363","US64111Q1040","NASDAQ","United States","USD","USD","1.00"
"INFN","INFINERA CORP","Equity","1.52","10.23","115,206.00","1,178,557.38","1,178,557.38","Information Technology","B1YB5Y4","US45667G1031","NASDAQ","United States","USD","USD","1.00"
"UBNT","UBIQUITI NETWORKS INC.","Equity","1.30","50.26","20,051.00","1,007,763.26","1,007,763.26","Information Technology","B76VD62","US90347A1007","NASDAQ","United States","USD","USD","1.00"
"XXIA","IXIA","Equity","1.27","19.65","50,203.00","986,488.95","986,488.95","Information Technology","2654245","US45071R1095","NASDAQ","United States","USD","USD","1.00"
"OCLR","OCLARO INC.","Equity","1.26","9.82","99,592.00","977,993.44","977,993.44","Information Technology","B01W5C1","US67555N2062","NASDAQ","United States","USD","USD","1.00"
"ADTN","ADTRAN INC.","Equity","1.02","20.75","38,167.00","791,965.25","791,965.25","Information Technology","2052924","US00738A1060","NASDAQ","United States","USD","USD","1.00"
"BLKFDS","BLK CSH FND TREASURY SL AGENCY","Money Market","0.03","1.00","25,486.00","25,485.64","25,485.64","Cash and/or Derivatives","-","US0669224778","-","United States","USD","USD","1.00"
"USD","USD CASH","Cash","0.03","100.00","23,827.00","23,827.20","23,827.20","Cash and/or Derivatives","-","-","-","United States","USD","USD","1.00"
 
