iShares North American Tech-Multimedia Networking ETF,iShares North American Tech-Multimedia Networking ETF,,,,,,,,,,,,,,
Inception Date,"Jul 10, 2001",,,,,,,,,,,,,,
Fund Holdings as of,"May 31, 2017",,,,,,,,,,,,,,
Total Net Assets,"76,930,770.29",,,,,,,,,,,,,,
Shares Outstanding,"1,700,000.00",,,,,,,,,,,,,,
Stock,-,,,,,,,,,,,,,,
Bond,-,,,,,,,,,,,,,,
Cash,-,,,,,,,,,,,,,,
Other,-,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange,Location,Currency,Market Currency,FX Rate
JNPR,JUNIPER NETWORKS INC,Equity,9.02,29.33,"236,616.00","6,939,947.28","6,939,947.28",Information Technology,2431846,US48203R1041,New York Stock Exchange Inc.,United States,USD,USD,1
PANW,PALO ALTO NETWORKS INC,Equity,8.82,118.59,"57,195.00","6,782,755.05","6,782,755.05",Information Technology,B87ZMX0,US6974351057,New York Stock Exchange Inc.,United States,USD,USD,1
MSI,MOTOROLA SOLUTIONS INC,Equity,8.78,83.57,"80,869.00","6,758,222.33","6,758,222.33",Information Technology,B5BKPQ4,US6200763075,New York Stock Exchange Inc.,United States,USD,USD,1
HRS,HARRIS CORP,Equity,8.72,112.16,"59,826.00","6,710,084.16","6,710,084.16",Information Technology,2412001,US4138751056,New York Stock Exchange Inc.,United States,USD,USD,1
CSCO,CISCO SYSTEMS INC,Equity,7.92,31.53,"193,140.00","6,089,704.20","6,089,704.20",Information Technology,2198163,US17275R1023,NASDAQ,United States,USD,USD,1
ANET,ARISTA NETWORKS INC,Equity,5.42,147.38,"28,302.00","4,171,148.76","4,171,148.76",Information Technology,BN33VM5,US0404131064,New York Stock Exchange Inc.,United States,USD,USD,1
ARRS,ARRIS INTERNATIONAL PLC,Equity,5.06,28.04,"138,958.00","3,896,382.32","3,896,382.32",Information Technology,BZ04Y37,GB00BZ04Y379,NASDAQ,United States,USD,USD,1
BRCD,BROCADE COMMUNICATIONS SYSTEMS INC,Equity,4.63,12.63,"282,080.00","3,562,670.40","3,562,670.40",Information Technology,2422174,US1116213067,NASDAQ,United States,USD,USD,1
COMM,COMMSCOPE HOLDING INC,Equity,4.3,36.99,"89,486.00","3,310,087.14","3,310,087.14",Information Technology,BFRBX34,US20337X1090,NASDAQ,United States,USD,USD,1
FFIV,F5 NETWORKS INC,Equity,4.04,128.13,"24,233.00","3,104,974.29","3,104,974.29",Information Technology,2427599,US3156161024,NASDAQ,United States,USD,USD,1
VSAT,VIASAT INC,Equity,3.58,65.25,"42,252.00","2,756,943.00","2,756,943.00",Information Technology,2946243,US92552V1008,NASDAQ,United States,USD,USD,1
NTCT,NETSCOUT SYSTEMS INC,Equity,3.48,36.6,"73,198.00","2,679,046.80","2,679,046.80",Information Technology,2447285,US64115T1043,NASDAQ,United States,USD,USD,1
CIEN,CIENA CORP,Equity,3.44,23.48,"112,639.00","2,644,763.72","2,644,763.72",Information Technology,B1FLZ21,US1717793095,New York Stock Exchange Inc.,United States,USD,USD,1
LITE,LUMENTUM HOLDINGS INC,Equity,3.28,57.05,"44,236.00","2,523,663.80","2,523,663.80",Information Technology,BYM9ZP2,US55024U1097,NASDAQ,United States,USD,USD,1
IDCC,INTERDIGITAL INC,Equity,2.88,81,"27,359.00","2,216,079.00","2,216,079.00",Information Technology,2465737,US45867G1013,NASDAQ,United States,USD,USD,1
SATS,ECHOSTAR CORP CLASS A,Equity,2.85,59.05,"37,193.00","2,196,246.65","2,196,246.65",Information Technology,B2NC471,US2787681061,NASDAQ,United States,USD,USD,1
FNSR,FINISAR CORP,Equity,2.83,24.66,"88,276.00","2,176,886.16","2,176,886.16",Information Technology,2517832,US31787A5074,NASDAQ,United States,USD,USD,1
VIAV,VIAVI SOLUTIONS INC,Equity,2.68,11.23,"183,671.00","2,062,625.33","2,062,625.33",Information Technology,BYXB201,US9255501051,NASDAQ,United States,USD,USD,1
PLT,PLANTRONICS INC,Equity,1.82,52.92,"26,463.00","1,400,421.96","1,400,421.96",Information Technology,2692030,US7274931085,New York Stock Exchange Inc.,United States,USD,USD,1
INFN,INFINERA CORP,Equity,1.48,9.72,"116,763.00","1,134,936.36","1,134,936.36",Information Technology,B1YB5Y4,US45667G1031,NASDAQ,United States,USD,USD,1
NTGR,NETGEAR INC,Equity,1.43,41.95,"26,263.00","1,101,732.85","1,101,732.85",Information Technology,2688363,US64111Q1040,NASDAQ,United States,USD,USD,1
UBNT,UBIQUITI NETWORKS INC,Equity,1.25,47.16,"20,329.00","958,715.64","958,715.64",Information Technology,B76VD62,US90347A1007,NASDAQ,United States,USD,USD,1
OCLR,OCLARO INC,Equity,1.17,8.88,"100,968.00","896,595.84","896,595.84",Information Technology,B01W5C1,US67555N2062,NASDAQ,United States,USD,USD,1
ADTN,ADTRAN INC,Equity,0.97,19.25,"38,692.00","744,821.00","744,821.00",Information Technology,2052924,US00738A1060,NASDAQ,United States,USD,USD,1
BLKFDS,BLK CSH FND TREASURY SL AGENCY,Money Market,0.1,1,"79,810.00","79,810.13","79,810.13",Cash and/or Derivatives,-,US0669224778,-,United States,USD,USD,1
USD,USD CASH,Cash,0.04,100,"31,167.00","31,167.24","31,167.24",Cash and/or Derivatives,-,-,-,United States,USD,USD,1
 ,,,,,,,,,,,,,,,
