iShares Core S&P Small-Cap ETF,,,,,,,,,,,
Inception Date,"May 22, 2000",,,,,,,,,,
Fund Holdings as of,"Mar 31, 2017",,,,,,,,,,
Total Net Assets,"30,106,491,708.40",,,,,,,,,,
Shares Outstanding,"434,900,000.00",,,,,,,,,,
Stock,-,,,,,,,,,,
Bond,-,,,,,,,,,,
Cash,-,,,,,,,,,,
Other,-,,,,,,,,,,
 ,,,,,,,,,,,
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
MKSI,MKS INSTRUMENTS INC.,Equity,0.52,68.75,2261530.00,"155,480,187.50","155,480,187.50",Information Technology,2404871,US55306N1046,NASDAQ
BLKB,BLACKBAUD INC.,Equity,0.51,76.67,1999203.00,"153,278,894.01","153,278,894.01",Information Technology,2458878,US09227Q1004,NASDAQ
NKTR,NEKTAR THERAPEUTICS,Equity,0.5,23.47,6443421.00,"151,227,090.87","151,227,090.87",Health Care,2454445,US6402681083,NASDAQ
SLCA,US SILICA HOLDINGS INC,Equity,0.49,47.99,3068592.00,"147,261,730.08","147,261,730.08",Energy,B7GGNT0,US90346E1038,New York Stock Exchange Inc.
MDCO,MEDICINES CO.,Equity,0.49,48.9,3001791.00,"146,787,579.90","146,787,579.90",Health Care,2616773,US5846881051,NASDAQ
PDCE,PDC ENERGY INC,Equity,0.49,62.35,2348697.00,"146,441,257.95","146,441,257.95",Energy,B89M5F2,US69327R1014,NASDAQ
UBSI,UNITED BANKSHARES INC.,Equity,0.48,42.25,3405321.00,"143,874,812.25","143,874,812.25",Financials,2905794,US9099071071,NASDAQ
HOMB,HOME BANCSHARES INC.,Equity,0.48,27.07,5308500.00,"143,701,095.00","143,701,095.00",Financials,B17MTL9,US4368932004,NASDAQ
ALE,ALLETE INC.,Equity,0.48,67.71,2102917.00,"142,388,510.07","142,388,510.07",Utilities,B02R1L6,US0185223007,New York Stock Exchange Inc.
STL,STERLING BAN,Equity,0.45,23.7,5696853.00,"135,015,416.10","135,015,416.10",Financials,BFNXVB8,US85917A1007,New York Stock Exchange Inc.
MDSO,MEDIDATA SOLUTIONS INC.,Equity,0.44,57.69,2309087.00,"133,211,229.03","133,211,229.03",Health Care,B5424Q0,US58471A1051,NASDAQ
HCSG,HEALTHCARE SERVICES GROUP INC.,Equity,0.44,43.09,3070025.00,"132,287,377.25","132,287,377.25",Industrials,2417619,US4219061086,NASDAQ
PNFP,PINNACLE FINANCIAL PARTNERS INC.,Equity,0.44,66.45,1965364.00,"130,598,437.80","130,598,437.80",Financials,2675097,US72346Q1040,NASDAQ
SR,SPIRE INC,Equity,0.44,67.5,1932030.00,"130,412,025.00","130,412,025.00",Utilities,BYXJQG9,US84857L1017,New York Stock Exchange Inc.
COR,CORESITE REALTY CORP.,Equity,0.43,90.05,1425515.00,"128,367,625.75","128,367,625.75",Real Estate,B3T3VV8,US21870Q1058,New York Stock Exchange Inc.
EVR,EVERCORE PARTNERS INC. CL A,Equity,0.43,77.9,1646692.00,"128,277,306.80","128,277,306.80",Financials,B1BHXZ2,US29977A1051,New York Stock Exchange Inc.
SANM,SANMINA CORP.,Equity,0.42,40.6,3110465.00,"126,284,879.00","126,284,879.00",Information Technology,B92RRW2,US8010561020,NASDAQ
CHE,CHEMED CORP.,Equity,0.42,182.69,685427.00,"125,220,658.63","125,220,658.63",Health Care,2190084,US16359R1032,New York Stock Exchange Inc.
PRA,PROASSURANCE CORP.,Equity,0.42,60.25,2073889.00,"124,951,812.25","124,951,812.25",Financials,2612737,US74267C1062,New York Stock Exchange Inc.
LITE,LUMENTUM HOLDINGS INC,Equity,0.42,53.35,2334265.00,"124,533,037.75","124,533,037.75",Information Technology,BYM9ZP2,US55024U1097,NASDAQ
CMD,CANTEL MEDICAL CORP,Equity,0.41,80.1,1524274.00,"122,094,347.40","122,094,347.40",Health Care,2188153,US1380981084,New York Stock Exchange Inc.
CACI,CACI INTERNATIONAL INC. CL A,Equity,0.4,117.3,1026223.00,"120,375,957.90","120,375,957.90",Information Technology,2159267,US1271903049,New York Stock Exchange Inc.
SJI,SOUTH JERSEY INDUSTRIES INC.,Equity,0.4,35.65,3357494.00,"119,694,661.10","119,694,661.10",Utilities,2825933,US8385181081,New York Stock Exchange Inc.
JBT,JOHN BEAN TECHNOLOGIES CORP.,Equity,0.39,87.95,1322381.00,"116,303,408.95","116,303,408.95",Industrials,B3BRJZ8,US4778391049,New York Stock Exchange Inc.
SIGI,SELECTIVE INSURANCE GROUP INC.,Equity,0.38,47.15,2445566.00,"115,308,436.90","115,308,436.90",Financials,2766173,US8163001071,NASDAQ
AEIS,ADVANCED ENERGY INDUSTRIES INC.,Equity,0.38,68.56,1669426.00,"114,455,846.56","114,455,846.56",Information Technology,2049175,US0079731008,NASDAQ
WAGE,WAGEWORKS INC,Equity,0.38,72.3,1560331.00,"112,811,931.30","112,811,931.30",Industrials,B6WG4R2,US9304271094,New York Stock Exchange Inc.
